,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Growl,EXO,0.681,0.814,11,-2.83,0,0.0603,0.145,0.876,89.993,207053,4
1,What's your name?,4Minute,0.738,0.889,11,-3.019,0,0.073,0.185,0.914,115.041,186776,4
2,CROOKED,G-DRAGON,0.665,0.919,2,-3.211,1,0.0922,0.00191,0.782,129.962,224793,4
3,Dream Girl,SHINee,0.724,0.939,11,-0.698,0,0.0736,0.0429,0.732,124.063,180165,4
4,I GOT A BOY,Girls' Generation,0.502,0.863,4,-1.273,0,0.272,0.0342,0.527,97.911,271326,4
5,첫 사랑니 (Rum Pum Pum Pum),f(x),0.774,0.819,11,-2.976,1,0.0383,0.509,0.543,119.984,197672,4
6,Johnny,"Primary, Dynamicduo",0.737,0.605,1,-4.557,1,0.151,0.269,0.802,99.905,234292,4
7,BAAAM,"Dynamicduo, Muzie",0.61,0.8,7,-5.544,1,0.212,0.0443,0.682,99.193,220880,4
8,All Right,Lim Kim,0.756,0.888,1,-6.375,1,0.0387,0.337,0.948,125.887,208620,4
9,Rose,LeeHi,0.756,0.675,2,-6.619,1,0.0374,0.0446,0.401,124.977,222288,4
10,Crescendo,AKMU,0.77,0.731,6,-6.249,1,0.0645,0.0615,0.275,131.932,166257,4
11,My Love,Lee Seung Chul,0.452,0.372,9,-7.657,1,0.027,0.781,0.554,147.921,231834,4
12,"Love, At First",Busker Busker,0.522,0.526,2,-6.907,1,0.0375,0.333,0.345,161.903,242110,4
13,Bom Bom Bom,Roy Kim,0.636,0.719,4,-5.986,1,0.0267,0.392,0.603,94.993,208467,4
14,Bounce,Cho Yong Pil,0.811,0.641,0,-3.159,1,0.0369,0.269,0.827,125.003,183988,4
15,With Laughter or With Tears,Seo In Guk,0.614,0.486,7,-5.961,1,0.0445,0.733,0.222,66.038,194650,4
16,거북이,DAVICHI,0.7,0.719,10,-6.707,1,0.0402,0.323,0.502,117.994,225093,4
17,어느 봄날 One Spring Day,2AM,0.581,0.462,4,-6.329,1,0.0283,0.451,0.359,133.995,234095,4
18,청혼하는 거예요,4MEN,0.478,0.55,9,-6.645,1,0.0383,0.572,0.271,126.002,249457,4
19,If It Ain't Love (feat. Ailee),"Verbal Jint, AILEE",0.697,0.893,4,-4.318,1,0.23,0.278,0.558,81.985,220500,4
20,JOAH - Remastered,"Jay Park, Remastered",0.52,0.9,11,-4.193,1,0.263,0.38,0.721,171.954,230088,4
21,You Can Stay,"Supreme Team, Crush",0.604,0.855,11,-4.211,0,0.264,0.348,0.692,94.79,225695,4
22,Miss Korea,Lee Hyori,0.735,0.593,7,-5.375,0,0.0364,0.558,0.697,127.045,235625,4
23,24시간이 모자라,SUNMI,0.739,0.782,1,-3.964,1,0.103,0.00549,0.604,125.94,201590,4
24,Hush,miss A,0.769,0.807,5,-3.453,0,0.0494,0.275,0.673,125.999,186800,4
25,기대해,Girl's Day,0.72,0.949,0,-1.242,1,0.0925,0.136,0.822,126.969,196813,4
26,VOODOO DOLL,VIXX,0.567,0.952,4,-1.553,0,0.103,0.145,0.509,128.985,216226,4
27,YooHoo,Secret,0.757,0.892,2,-2.414,1,0.0671,0.109,0.902,151.07,204696,4
28,How are you (feat.Harim),Geeks,0.757,0.787,10,-4.834,0,0.0503,0.125,0.893,97.992,226743,4
29,Up & Down,EXID,0.714,0.812,7,-2.703,1,0.0351,0.00189,0.377,112.018,189882,4
30,Overdose,EXO-K,0.498,0.917,5,-1.797,0,0.164,0.0615,0.652,112.357,205612,5
31,200%,"AKMU, 로빈, 이찬혁, LEE SUHYUN",0.853,0.638,1,-4.911,1,0.0536,0.379,0.872,102.064,193321,4
32,보름달,"SUNMI, Lena",0.505,0.958,8,-3.202,0,0.337,0.264,0.743,176.016,202180,4
33,"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,0.63,0.516,0,-5.759,1,0.0379,0.736,0.254,143.786,229990,4
34,Mr.Mr.,Girls' Generation,0.701,0.964,4,-2.037,0,0.127,0.114,0.484,113.058,235434,4
35,헤픈엔딩 Happen Ending,"Epik High, Joe Won Sun",0.827,0.636,11,-5.78,0,0.0427,0.0401,0.587,100.007,264349,4
36,BEAUTIFUL,"Park Boram, ZICO",0.763,0.802,0,-2.533,1,0.0553,0.165,0.924,129.972,209464,4
37,광화문에서 (At Gwanghwamun),KYUHYUN,0.53,0.375,3,-6.268,1,0.0285,0.72,0.204,135.821,282806,4
38,GOOD BOY,GD X TAEYANG,0.745,0.825,1,-3.162,0,0.0352,0.000875,0.242,94.998,245192,4
39,HER,Block B,0.646,0.897,8,-2.057,1,0.193,0.0453,0.86,162.017,179053,4
40,I'm Different,"HI SUHYUN, BOBBY",0.851,0.845,2,-2.293,0,0.0341,0.119,0.949,109.0,214254,4
41,공허해 empty,WINNER,0.619,0.698,0,-6.618,1,0.042,0.146,0.575,90.055,220358,4
42,COME BACK HOME,2NE1,0.572,0.84,0,-3.349,0,0.126,0.155,0.146,149.864,229627,4
43,Difficult Woman,Jang Beom June,0.712,0.74,11,-4.423,1,0.0445,0.102,0.747,119.959,231907,4
44,Sleepless Night (feat. Punch),"Crush, Punch",0.599,0.575,10,-5.792,1,0.0315,0.449,0.491,151.994,237539,4
45,Every moment of you 너의 모든 순간,Sung Si Kyung,0.366,0.385,10,-7.952,1,0.0336,0.816,0.244,139.982,243324,4
46,Wild Flower,Park Hyo Shin,0.281,0.322,8,-9.145,1,0.0309,0.722,0.247,134.699,314254,3
47,사랑에 빠지고 싶다,Jung Seung Hwan,0.511,0.0703,3,-15.846,1,0.0436,0.795,0.203,122.449,145334,4
48,Wind that Blows,M.C the Max,0.315,0.429,8,-6.856,1,0.0353,0.476,0.155,144.18,238465,4
49,No Answer,Hong Dae Kwang,0.585,0.77,10,-4.434,0,0.114,0.46,0.373,87.893,244752,4
50,Good bye 안녕,Hyolyn,0.581,0.446,10,-8.412,1,0.0297,0.766,0.395,79.975,218920,4
51,I Love You Too,"Drunken Tiger, Yoon Mirae",0.599,0.696,1,-3.771,1,0.397,0.511,0.714,86.076,193400,4
52,Can’t hide it,15&,0.588,0.744,6,-3.199,0,0.0586,0.133,0.648,96.03,184327,4
53,Good-night Kiss,Jun Hyo Seong,0.73,0.793,7,-4.605,1,0.0889,0.0676,0.716,132.987,205584,4
54,HAPPY TOGETHER,Park Hyo Shin,0.453,0.505,8,-7.891,1,0.0493,0.72,0.194,85.693,252140,4
56,Three of Us,"TOY, Sung Si Kyung",0.494,0.671,5,-4.599,0,0.0365,0.529,0.33,88.972,285585,4
57,Good Luck,Beast,0.565,0.938,10,-2.756,0,0.106,0.094,0.577,100.043,202162,4
58,우산 (feat. 윤하),"Epik High, Younha",0.744,0.71,6,-5.939,1,0.0279,0.393,0.346,113.003,301720,4
59,View,SHINee,0.728,0.801,6,-4.428,0,0.0439,0.04,0.656,123.953,190821,4
60,BANG BANG BANG,BIGBANG,0.69,0.843,1,-2.949,1,0.0534,0.0167,0.428,135.01,220178,4
61,LOVE ME RIGHT,EXO,0.625,0.83,0,-2.33,1,0.0764,0.00266,0.757,110.04,205129,4
62,Dope,BTS,0.579,0.896,10,-2.781,0,0.224,0.0272,0.678,153.991,240021,4
63,I,"TAEYEON, Verbal Jint",0.506,0.788,9,-2.372,1,0.0324,0.0666,0.233,89.993,206039,4
64,I Feel You,Wonder Girls,0.491,0.897,10,-3.912,1,0.0544,0.0256,0.533,118.771,205373,4
65,다른 남자 말고 너 Only You,miss A,0.638,0.767,0,-3.155,1,0.132,0.0527,0.406,168.076,198009,4
66,MY TYPE,iKON,0.789,0.55,1,-5.595,1,0.0392,0.202,0.698,93.984,210903,4
67,4 Walls,f(x),0.735,0.849,4,-4.308,0,0.129,0.212,0.223,125.972,207477,4
68,I Need U,BTS,0.486,0.88,5,-3.097,0,0.0706,0.0215,0.71,158.043,210987,4
69,Ice Cream Cake,Red Velvet,0.58,0.935,9,-3.348,1,0.189,0.0318,0.603,172.023,191440,4
70,어머님이 누구니 (Who's your mama?) (Feat. Jessi),J.Y. Park,0.692,0.83,1,-3.813,1,0.177,0.0262,0.53,115.006,221123,4
71,CALL ME BABY,EXO,0.692,0.886,1,-2.519,1,0.0519,0.284,0.879,100.03,211013,4
72,Devil,SUPER JUNIOR,0.773,0.865,4,-3.027,0,0.114,0.133,0.968,145.003,216585,4
73,Oasis,"Crush, ZICO",0.46,0.81,4,-4.158,0,0.254,0.222,0.836,96.207,191279,4
74,Boys And Girls,"ZICO, Babylon",0.815,0.75,1,-3.029,1,0.058,0.04,0.611,103.034,200170,4
75,CELEPRETTY,Park Boram,0.693,0.955,11,-1.476,1,0.0474,0.445,0.956,138.974,190776,4
76,Who Are You,"BoA, Gaeko",0.738,0.902,2,-2.362,1,0.0559,0.193,0.826,105.003,223721,4
77,Garosugil At Dawn,"Baek Ji Young, Song Yu Vin",0.42,0.442,9,-4.883,1,0.03,0.785,0.309,149.449,222234,3
78,Living in the same time,Naul,0.447,0.504,0,-6.472,1,0.0395,0.861,0.334,133.632,250480,4
79,Two Lovers,"DAVICHI, Mad Clown",0.534,0.755,7,-4.417,1,0.156,0.287,0.754,178.114,225750,4
80,PARTY,Girls' Generation,0.753,0.887,10,-2.975,0,0.0359,0.111,0.946,122.981,193814,4
81,이럴거면 그러지말지 Shouldn't Have… (feat. Young K),Baek A Yeon,0.496,0.639,6,-3.145,1,0.0809,0.712,0.442,170.917,212762,3
82,Eat,Zion.T,0.662,0.293,4,-11.311,1,0.124,0.494,0.297,91.154,161618,4
83,Ordinary Love (feat. Park Boram),"Park Kyung, Park Boram",0.739,0.706,9,-6.534,1,0.152,0.219,0.558,144.112,232867,4
84,데자-부 (Déjà-Boo),"JONGHYUN, Zion.T",0.818,0.748,5,-4.296,1,0.148,0.122,0.801,108.117,209176,4
85,Dumb Dumb,Red Velvet,0.778,0.789,7,-4.297,0,0.0503,0.0334,0.799,145.99,202543,4
86,Ah Yeah,EXID,0.762,0.939,11,-2.688,0,0.054,0.0483,0.428,117.986,199643,4
87,Chained Up,VIXX,0.728,0.941,9,-2.044,0,0.188,0.0955,0.924,92.065,192922,4
88,DADDY,"PSY, CL",0.762,0.869,6,-3.287,0,0.13,0.0793,0.747,132.05,230635,4
89,TT,TWICE,0.708,0.852,2,-4.398,1,0.0851,0.0525,0.396,129.946,212987,4
90,Monster,EXO,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.541,150.0,221341,4
91,FXXK IT,BIGBANG,0.716,0.763,0,-3.001,0,0.0945,0.147,0.575,90.101,231748,4
92,Burning Up (Fire),BTS,0.627,0.706,10,-3.201,0,0.0597,0.00227,0.536,99.93,203352,4
93,PICK ME,PRODUCE 101,0.685,0.935,9,-2.056,1,0.125,0.029,0.622,128.024,226875,4
94,Why So Lonely,Wonder Girls,0.634,0.726,7,-5.086,1,0.133,0.111,0.809,155.161,206707,4
95,WHISTLE,BLACKPINK,0.818,0.723,11,-4.82,1,0.114,0.00561,0.607,102.945,211632,4
96,러시안 룰렛 Russian Roulette,Red Velvet,0.726,0.903,7,-2.277,0,0.0357,0.055,0.958,129.986,211244,4
97,Tell Me What To Do,SHINee,0.602,0.926,7,-1.78,1,0.177,0.102,0.288,125.107,246787,4
98,Just Like a Dream,BEN,0.355,0.577,4,-5.796,1,0.0433,0.699,0.238,135.536,226715,4
99,Rain,TAEYEON,0.567,0.687,8,-3.269,1,0.0329,0.538,0.406,76.024,222047,4
100,No matter where,M.C the Max,0.463,0.45,6,-6.104,1,0.0301,0.568,0.331,131.69,331155,4
101,BREATHE,LeeHi,0.616,0.251,8,-8.454,1,0.038,0.803,0.356,123.802,288915,4
102,Bye bye my blue,Yerin Baek,0.511,0.539,3,-6.726,1,0.114,0.613,0.297,87.702,203410,4
103,Galaxy 우주를 줄게,BOL4,0.483,0.814,0,-2.407,1,0.143,0.683,0.696,82.814,213853,4
104,Toy,Block B,0.639,0.618,7,-5.397,1,0.0969,0.0441,0.392,90.07,206468,4
105,ALWAYS,Yoon Mirae,0.419,0.605,10,-3.452,1,0.0333,0.778,0.284,128.629,205193,4
106,Don't Come Back,"HEIZE, Yong Jun Hyung",0.486,0.524,7,-5.832,1,0.0631,0.548,0.265,92.11,217040,4
107,"I Am You, You Are Me",ZICO,0.768,0.618,9,-6.928,0,0.0529,0.317,0.7,96.975,213252,4
108,D (Half Moon),"DEAN, Gaeko",0.512,0.765,7,-5.252,1,0.136,0.246,0.519,169.709,229360,4
109,Day Day (Prod. By GRAY),"BewhY, Jay Park",0.824,0.883,10,-2.37,0,0.072,0.0718,0.871,117.987,209020,4
